"adresseid","distance_min_m","nombre_bornes_proches"
351,"34.68156812","2"
352,"34.00837546","2"
353,"38.90496623","2"
354,"48.36164729","3"
355,"60.21556498","3"
356,"74.05034148","3"
357,"59.13742462","3"
358,"43.48928282","2"
359,"41.85728873","2"
360,"32.2391413","2"
361,"71.58033542","3"
362,"43.53847273","1"
363,"19.88344243","4"
364,"27.94629934","2"
365,"14.96594143","2"
366,"98.07228699","1"
367,"43.29745913","2"
368,"33.58944732","2"
369,"30.09396006","1"
370,"39.49448619","2"
371,"18.83281713","3"
372,"32.56572854","3"
373,"67.13402124","2"
374,"79.3275847","3"
375,"65.60957798","3"
376,"38.67457024","2"
377,"31.23323008","6"
378,"39.15609262","2"
379,"86.58205676","1"
380,"96.31819529","1"
381,"27.39072576","5"
382,"38.03041371","2"
383,"34.1762171","3"
384,"39.29552812","4"
385,"40.64410811","3"
386,"37.30141507","5"
387,"34.04103735","4"
388,"40.1850942","3"
389,"48.98002157","3"
390,"62.18436765","3"
391,"54.51429707","3"
392,"33.53559719","2"
393,"44.77375441","2"
394,"57.78886693","2"
395,"21.14217762","3"
396,"35.67650863","3"
397,"29.40671134","3"
401,"46.92628882","5"
402,"48.6258395","3"
403,"31.80553349","3"
404,"38.16851243","3"
405,"52.20431004","3"
406,"49.94618076","3"
407,"36.77584297","3"
408,"30.73259373","3"
409,"19.33765406","3"
410,"12.73539634","2"
411,"27.37294425","1"
412,"34.30556424","2"
413,"39.49687146","2"
414,"50.42105764","2"
415,"56.79006535","2"
416,"55.86815948","2"
417,"51.09068363","2"
418,"41.85380466","2"
419,"38.78957206","2"
420,"35.92676452","1"
421,"34.06963083","2"
422,"29.1352525","2"
423,"26.55602653","2"
424,"24.34152358","3"
425,"25.73468806","4"
426,"31.08332102","2"
427,"46.41621637","2"
428,"46.45177501","3"
429,"49.70678573","3"
430,"35.94741519","3"
431,"28.8092679","3"
432,"15.71509796","3"
433,"23.94113606","3"
434,"32.14959419","3"
435,"16.54662419","2"
436,"21.99045632","2"
437,"15.30870326","2"
438,"19.9154083","3"
439,"50.8110429","1"
440,"10.69939085","4"
441,"36.35472989","3"
442,"39.35777766","4"
445,"24.66185121","2"
446,"33.94020263","3"
447,"76.29220145","2"
448,"54.07521582","1"
449,"52.98396008","3"
450,"58.85669206","2"
451,"64.34663884","2"
452,"13.96006971","1"
453,"59.65864635","1"
454,"32.96630929","2"
455,"54.41799332","2"
456,"73.31121748","1"
457,"36.69911015","1"
458,"51.64652164","2"
459,"36.6885203","2"
460,"111.56876157","0"
461,"63.82323002","2"
462,"70.37808159","1"
463,"11.4494024","2"
464,"42.62894144","2"
465,"28.95061439","1"
466,"53.69612106","2"
467,"12.31700837","1"
468,"66.95181802","4"
472,"31.07307792","1"
473,"63.8658424","4"
474,"33.28915514","2"
475,"44.47687019","2"
476,"59.33795302","3"
477,"69.68487246","3"
478,"40.71984786","2"
479,"26.44785163","2"
480,"57.52770866","3"
481,"69.93691246","1"
482,"59.42800899","2"
483,"55.66620185","2"
484,"32.17500423","1"
485,"52.54975605","3"
486,"41.66727485","1"
487,"49.1523973","1"
488,"57.11579041","1"
489,"62.63467597","3"
490,"64.77800907","2"
491,"44.58140094","2"
492,"36.24474947","1"
493,"24.42622655","1"
494,"44.51818616","2"
495,"35.60720358","4"
496,"45.01271811","2"
497,"27.57811345","2"
498,"29.43244675","3"
499,"12.17416703","1"
500,"37.39756758","3"
501,"53.83234897","2"
502,"43.85735571","2"
503,"54.80029242","3"
504,"25.40504811","1"
505,"11.76868412","1"
506,"41.01727664","1"
507,"35.729301","2"
508,"16.15796506","3"
509,"30.32079793","2"
510,"30.6420053","2"
511,"37.06230447","3"
512,"55.60495822","3"
513,"48.16943364","2"
514,"66.58600499","2"
515,"62.8093675","4"
516,"64.19801983","4"
517,"66.08034214","3"
518,"26.6805325","2"
519,"29.55219545","2"
520,"33.21489792","2"
521,"58.7180645","3"
522,"40.35864873","1"
523,"15.53118744","1"
524,"15.77901395","1"
525,"29.71144598","3"
526,"41.97752059","3"
527,"48.99505491","3"
528,"54.26181368","4"
529,"37.44342624","3"
530,"42.64161267","3"
531,"56.02850728","3"
532,"44.65643195","3"
533,"32.56742849","4"
534,"22.48413053","4"
535,"11.95814838","3"
536,"44.86642967","4"
537,"36.68038888","3"
538,"30.39450819","2"
539,"41.48618088","3"
540,"60.05657004","3"
541,"43.91533576","1"
542,"46.16054624","2"
543,"54.20947402","2"
544,"64.38030503","2"
545,"68.25288572","3"
546,"61.84383875","2"
547,"41.20900492","1"
548,"31.28149464","2"
549,"36.29649962","2"
550,"35.21458652","2"
551,"33.00045213","2"
552,"36.32002934","1"
553,"38.26454352","2"
554,"15.13162708","2"
555,"52.04781218","2"
556,"29.21142182","3"
557,"27.20663646","3"
558,"45.49566443","3"
559,"58.7916049","5"
560,"52.28371504","5"
561,"35.46522905","1"
562,"33.23603067","2"
563,"40.42020001","1"
564,"26.39018905","3"
565,"42.15293572","1"
566,"45.64333362","3"
567,"49.9089814","3"
568,"59.45900579","3"
569,"11.3217411","3"
570,"64.66273319","3"
571,"11.0842241","3"
572,"20.67828273","3"
573,"51.78213315","3"
574,"47.65010258","3"
575,"27.11879014","2"
576,"40.55526011","3"
577,"47.19478626","3"
578,"40.14091073","3"
579,"22.76327381","3"
580,"26.46071668","3"
581,"45.728205","3"
582,"33.75192459","3"
583,"70.06219584","2"
584,"64.26866376","2"
585,"52.28312917","1"
586,"47.16576591","1"
587,"37.73311348","1"
588,"34.35316138","1"
589,"29.16075638","1"
590,"28.34340595","3"
591,"42.69118396","4"
592,"52.1278875","3"
593,"65.1884985","3"
594,"68.52187323","3"
595,"55.16904622","3"
596,"57.5633972","3"
597,"51.08047916","4"
598,"51.03297178","3"
599,"36.92350294","3"
600,"39.90212615","3"
601,"61.24729003","3"
602,"16.19337641","1"
603,"67.47764489","2"
604,"37.78354914","1"
605,"34.86804645","1"
606,"41.77062313","1"
607,"47.08216094","2"
608,"46.91687143","1"
609,"58.88247956","3"
610,"53.55326623","2"
611,"56.88421773","2"
612,"84.04640599","1"
613,"49.44290812","2"
614,"61.28806833","2"
615,"47.80898087","1"
616,"25.32701731","2"
617,"51.85967869","4"
618,"15.67273367","2"
619,"64.21279067","2"
620,"73.39579641","2"
621,"72.26425085","3"
622,"58.13543175","3"
623,"49.0733991","1"
624,"15.60317443","3"
625,"22.63592328","3"
626,"44.67351769","3"
627,"56.93197831","3"
628,"57.80617957","3"
629,"56.88707472","4"
630,"22.40886388","3"
631,"22.67546922","3"
632,"30.06411082","3"
633,"38.39200469","3"
634,"40.66850421","3"
635,"30.74674038","2"
636,"35.40661891","4"
637,"38.90440283","3"
638,"29.16713579","1"
639,"13.12998029","2"
640,"20.19481354","2"
641,"62.14826745","2"
642,"35.07664224","3"
643,"40.32747079","3"
644,"23.57334904","2"
645,"50.46340112","2"
646,"42.70274318","2"
647,"30.95792728","2"
648,"54.61911703","2"
649,"26.78485927","3"
650,"15.61444322","2"
651,"32.52688808","2"
652,"60.11903691","2"
653,"72.36135505","2"
654,"70.45531399","2"
655,"51.74710464","3"
656,"42.759757","3"
657,"34.93697786","3"
658,"72.61855278","3"
659,"72.74040672","3"
660,"70.56409814","3"
661,"64.83121415","3"
662,"58.90082806","3"
663,"53.10949831","2"
664,"52.84190849","3"
665,"47.52403239","3"
666,"42.48808245","3"
667,"39.20642791","2"
668,"34.87441317","2"
669,"9.10497172","3"
670,"13.4120203","3"
671,"18.17224404","3"
672,"23.98968042","3"
673,"29.37661867","3"
674,"34.43657326","2"
675,"40.02207999","2"
676,"38.64045026","4"
677,"39.80141714","4"
678,"41.73692414","4"
679,"45.7213814","4"
680,"15.56141425","3"
681,"28.97090525","4"
682,"18.07174064","4"
683,"24.82804061","4"
684,"19.31741113","4"
685,"32.23377528","4"
686,"32.16385627","3"
687,"20.5991251","3"
688,"11.358234","3"
689,"22.58436976","5"
690,"56.34717667","4"
691,"41.63660511","1"
692,"39.09518312","1"
693,"36.37331866","1"
694,"24.52514448","1"
695,"23.27442161","1"
696,"30.81213149","2"
697,"23.57789277","2"
698,"34.74122575","1"
699,"29.74005092","1"
700,"23.84064958","1"
701,"21.99067237","1"
702,"41.18737886","2"
703,"45.74968844","2"
704,"25.02686667","3"
705,"24.81534791","3"
706,"27.6001122","2"
707,"30.97863523","2"
708,"32.65863528","3"
709,"40.21022475","3"
710,"47.77747898","2"
711,"43.55295794","2"
712,"39.72233458","2"
713,"34.84667252","2"
714,"25.16990832","2"
715,"32.44267808","2"
716,"22.43428926","2"
717,"30.31305369","2"
718,"19.82324687","2"
719,"28.65223963","2"
720,"19.02907812","4"
721,"27.49805523","3"
722,"19.22408857","4"
723,"33.39611316","3"
724,"50.55694018","3"
725,"68.77824718","4"
726,"64.0805176","3"
727,"50.80258317","3"
728,"55.91350642","3"
729,"46.98951462","1"
730,"16.04081687","2"
731,"42.43079905","4"
732,"46.85646446","3"
733,"59.29644206","3"
734,"43.24286283","3"
735,"56.62448256","2"
736,"76.14761731","3"
737,"67.72911628","2"
738,"48.35193275","1"
739,"35.34550162","3"
740,"31.15430201","2"
741,"45.34774588","2"
742,"43.56693288","3"
743,"46.30683135","2"
744,"76.02636039","2"
745,"32.9346229","1"
746,"17.85896477","1"
747,"37.95362456","2"
748,"63.37084813","2"
749,"32.54837879","2"
750,"15.15193848","3"
751,"64.83845967","3"
752,"55.7358735","3"
753,"71.13029881","3"
754,"30.78771661","1"
755,"33.50776439","2"
756,"39.86232347","2"
757,"44.36348331","2"
758,"27.45892949","4"
759,"15.65595749","4"
760,"13.18405816","4"
761,"25.40631576","4"
762,"37.23728221","4"
763,"51.9769866","3"
764,"60.61465582","3"
765,"61.37776345","3"
766,"90.84345669","2"
767,"59.53208512","2"
768,"45.53788591","2"
769,"89.29218939","2"
770,"79.41340505","1"
771,"99.13295067","1"
772,"75.80193938","1"
773,"96.00674288","2"
774,"73.80397216","2"
775,"63.07959766","2"
776,"64.50172479","3"
777,"47.57124376","3"
778,"48.46060391","2"
779,"40.61968191","2"
780,"28.79632775","3"
781,"36.45138697","2"
782,"16.08824904","3"
783,"36.83734787","2"
784,"16.63347532","2"
785,"41.18743615","2"
786,"30.40059409","2"
787,"54.94602189","3"
788,"47.91327188","3"
789,"66.35943492","3"
790,"63.75774035","3"
791,"71.12604773","4"
792,"65.93504682","3"
793,"68.30714064","3"
794,"48.11890619","4"
795,"65.24527668","2"
796,"30.22772911","2"
797,"14.11534403","2"
798,"27.34957991","2"
799,"40.81885576","3"
800,"56.21974216","3"
801,"50.78426135","3"
802,"55.20770154","3"
803,"57.85199355","3"
804,"53.12968675","3"
805,"49.5798037","3"
806,"43.83989264","3"
807,"49.69773473","3"
808,"55.72289022","3"
809,"59.94185137","3"
810,"64.65440491","3"
811,"85.67816798","4"
812,"90.36817746","3"
813,"86.35785775","3"
814,"81.54370643","1"
815,"77.23348135","1"
816,"83.8925313","2"
817,"86.06987844","2"
818,"83.94347875","2"
819,"82.34648767","2"
820,"80.88448709","1"
821,"79.28871351","1"
822,"78.49697402","1"
823,"84.48076222","1"
824,"89.53956592","1"
825,"100.1393666","0"
826,"105.50352685","0"
827,"110.69943891","0"
828,"110.91773898","0"
829,"109.0626485","0"
830,"107.90815739","0"
831,"93.63294718","1"
832,"90.00182062","1"
833,"85.0829683","1"
834,"81.73483447","1"
835,"68.71804917","1"
836,"65.35888627","1"
837,"53.02023022","1"
838,"49.76956146","1"
839,"46.18813776","1"
840,"42.1559526","1"
841,"39.85000789","1"
842,"36.07926487","1"
843,"51.99408721","2"
844,"56.89578069","2"
845,"62.50862352","2"
846,"67.37872419","3"
847,"72.72240787","3"
848,"83.43726566","3"
849,"85.17837366","2"
850,"86.47561917","2"
851,"89.30219442","2"
852,"92.06769295","2"
853,"95.24856738","2"
854,"34.8116989","2"
855,"36.21518973","2"
856,"38.69878915","2"
857,"41.69000263","2"
858,"46.56780652","2"
859,"57.81642239","2"
860,"52.75157033","2"
861,"48.32669958","2"
862,"43.86427803","2"
863,"39.67162917","2"
864,"35.61026029","2"
865,"32.28188385","2"
866,"30.03713313","2"
867,"36.02528682","3"
868,"23.98511418","2"
869,"66.81005509","5"
870,"27.5562404","1"
871,"45.54589119","3"
872,"42.73294329","3"
873,"32.24709665","3"
874,"24.33622557","3"
875,"24.12462521","3"
876,"31.56582743","3"
877,"42.89273379","3"
878,"49.61952108","4"
879,"60.45812812","5"
880,"53.93890636","4"
881,"41.28655339","4"
882,"27.5292789","3"
883,"16.3219777","2"
884,"30.09969872","2"
885,"47.71742367","3"
886,"51.54588154","4"
887,"25.10138639","3"
888,"36.62527062","3"
889,"60.09891304","2"
890,"48.67265698","2"
891,"62.67700243","1"
892,"64.33301363","2"
893,"39.62133583","2"
894,"13.89819748","3"
895,"53.3063086","3"
896,"60.95630121","3"
897,"28.59680814","2"
898,"52.81757676","1"
899,"32.91628959","2"
900,"47.73583304","1"
901,"43.07503797","1"
902,"43.5537767","1"
903,"48.29846465","2"
904,"56.04819894","3"
905,"49.64758854","3"
906,"51.26846095","3"
907,"39.35888523","3"
908,"56.58148934","2"
910,"65.23621324","3"
911,"33.38132242","3"
912,"252.74071164","0"
913,"83.75626631","1"
915,"26.84126038","2"
916,"29.41408268","1"
917,"60.38638602","2"
918,"53.16992366","1"
919,"136.26378018","0"
921,"31.36858438","2"
922,"22.67948803","2"
923,"22.65942146","2"
924,"30.80626631","2"
925,"42.61301761","2"
926,"58.21813383","3"
927,"71.70146212","4"
928,"72.15351302","3"
929,"59.26380942","3"
930,"47.38617","2"
931,"35.34007509","2"
932,"25.98679853","2"
933,"40.23637212","2"
934,"53.24824976","2"
935,"59.41442747","3"
936,"60.91389428","3"
937,"56.13745512","3"
938,"23.81667208","2"
939,"33.56409819","1"
940,"34.18873679","2"
941,"43.39488738","4"
942,"17.03691618","2"
943,"35.13857719","2"
944,"52.13111334","4"
945,"63.45956667","4"
946,"31.50472895","3"
947,"76.26169404","3"
948,"61.65222231","3"
949,"36.66343442","2"
950,"15.96061308","2"
951,"18.08803399","2"
952,"16.69396897","2"
953,"53.10587309","3"
955,"31.54664755","4"
956,"16.62088639","2"
957,"16.64406347","2"
958,"29.52895064","3"
959,"55.10524747","3"
960,"34.13121101","3"
961,"47.14984203","4"
962,"61.45096351","3"
963,"42.77282079","3"
964,"57.66291703","3"
965,"26.78164893","2"
966,"42.15393893","2"
967,"18.54984883","2"
968,"21.58439115","2"
969,"25.58355941","2"
970,"64.57526799","3"
971,"56.41199435","3"
972,"43.38469137","2"
973,"27.08129082","1"
974,"24.71263065","1"
975,"33.40385035","1"
976,"39.83238085","3"
977,"51.33224729","4"
978,"71.96746438","4"
979,"68.63865296","4"
980,"64.26932596","2"
981,"61.57003751","3"
982,"28.10541","3"
983,"42.2595573","4"
984,"56.58516504","4"
985,"61.99686041","3"
986,"49.88927772","3"
987,"37.11317289","2"
988,"43.91819434","3"
989,"33.9309642","2"
990,"31.6139997","2"
991,"36.8694056","3"
992,"46.62100752","3"
993,"67.73577392","3"
994,"59.17171527","3"
995,"40.71583173","3"
996,"64.51445611","4"
997,"30.99546578","3"
998,"42.86342611","3"
999,"54.89742272","3"
1000,"68.66740912","3"
1001,"71.30433666","3"
1002,"40.27955928","2"
1003,"38.01299338","1"
1004,"15.64398515","2"
1005,"29.66082982","3"
1006,"41.26733848","4"
1007,"52.26305525","4"
1008,"62.68150647","3"
1009,"69.26754022","3"
1010,"59.91271362","3"
1011,"53.90398242","3"
1012,"43.26041533","2"
1013,"40.27541671","2"
1014,"39.22855053","2"
1015,"41.5218615","2"
1016,"50.95629528","3"
1017,"56.61877931","3"
1018,"52.03141249","5"
1019,"63.9882281","3"
1020,"70.2224433","2"
1021,"81.2755501","1"
1022,"89.13231459","2"
1023,"33.62996598","2"
1024,"36.40532571","2"
1025,"47.55560289","1"
1026,"56.38467921","3"
1027,"66.60878465","3"
1028,"71.78506942","3"
1029,"61.46135358","3"
1030,"51.89593481","3"
1031,"40.15271719","4"
1032,"51.85696963","3"
1033,"49.11555257","3"
1034,"41.85336347","3"
1035,"36.04724635","3"
1036,"32.02254362","3"
1037,"21.22790748","2"
1038,"12.9021219","2"
1039,"54.4468663","2"
1040,"66.96070223","3"
1041,"72.49147066","3"
1042,"61.74679844","3"
1043,"49.58562391","2"
1044,"39.53764819","1"
1045,"33.57602382","1"
1046,"43.1953952","2"
1047,"56.49867674","3"
1048,"61.19172904","3"
1049,"56.61168945","4"
1050,"42.07575243","3"
1051,"26.70263361","3"
1052,"15.30357518","3"
1053,"20.04864832","2"
1054,"43.56533411","1"
1055,"53.6050351","3"
1056,"50.85978801","3"
1057,"44.13335857","3"
1058,"31.17894091","2"
1059,"26.40596379","3"
1060,"32.17594862","3"
1061,"37.10409136","2"
1062,"46.55965428","3"
1063,"53.97715264","3"
1064,"67.35357312","3"
1065,"60.65778671","3"
1066,"47.45507963","3"
1067,"28.41665495","2"
1068,"18.3149451","2"
1069,"17.37258093","2"
1070,"27.76615568","3"
1071,"42.13035261","3"
1072,"54.22663186","2"
1073,"47.23617287","2"
1074,"44.84143214","3"
1075,"46.69865444","3"
1076,"34.06276461","3"
1077,"15.9870644","3"
1078,"16.37558385","1"
1079,"34.5342937","2"
1080,"50.72395923","3"
1081,"64.86256578","3"
1082,"49.36198961","3"
1083,"70.18797952","3"
1084,"31.85716252","3"
1085,"42.04349411","2"
1086,"29.41264919","4"
1087,"25.2293109","3"
1088,"35.47081933","4"
1089,"48.08818011","4"
1090,"54.79833965","3"
1091,"36.9427659","4"
1092,"16.60103854","4"
1093,"16.66937722","4"
1096,"12.81855209","2"
1097,"14.91932002","2"
1098,"48.59400616","3"
1099,"46.53413774","4"
1100,"44.97140313","2"
1101,"38.93661474","2"
1102,"22.97015503","3"
1103,"14.40277355","2"
1104,"14.57594538","2"
1105,"25.61685604","3"
1106,"40.41841158","4"
1107,"54.58957797","4"
1108,"65.74329619","4"
1109,"56.84364138","4"
1110,"49.42991168","2"
1111,"51.83177829","2"
1112,"29.3448035","3"
1113,"32.79058964","1"
1114,"38.92141546","2"
1115,"53.06645632","2"
1116,"55.46545946","2"
1117,"72.61881914","2"
1118,"28.90371198","3"
1119,"58.49399754","1"
1120,"66.30904363","3"
1121,"59.18278593","3"
1122,"29.80787653","2"
1123,"56.64155563","3"
1124,"21.63282322","1"
1125,"38.01862626","3"
1126,"31.73444951","3"
1127,"38.1638031","3"
1128,"29.34377707","1"
1129,"32.50941569","1"
1130,"42.16764433","1"
1131,"47.37367739","1"
1132,"60.8936113","2"
1133,"66.80538298","2"
1134,"30.34109074","4"
1135,"28.90048296","4"
1136,"55.12956023","4"
1137,"70.89096703","3"
1138,"64.48150668","3"
1139,"49.15027541","2"
1140,"37.69533007","1"
1141,"40.41738136","1"
1142,"21.23758472","1"
1143,"73.15790012","1"
1144,"69.74002947","3"
1145,"86.18443827","2"
1146,"83.48434997","1"
1147,"79.14223345","1"
1148,"63.43996214","1"
1149,"48.80722692","4"
1150,"22.6140966","6"
1151,"34.22738541","4"
1152,"66.16488268","3"
1153,"21.40781296","3"
1154,"39.64517374","3"
1155,"16.5358015","3"
1156,"33.89061928","3"
1157,"12.93582362","3"
1158,"15.27672433","3"
1159,"54.06195459","2"
1160,"38.56840806","2"
1161,"44.28511386","2"
1162,"30.38975274","5"
1163,"47.70748393","3"
1164,"53.16603813","4"
1165,"66.20471372","2"
1166,"58.62862839","2"
